Name,Grade,Engagement,Socio-Economic Status,First Generation Student,LMS Interactions
Victoria Hunt,76,Low,Low,True,19
William Brown,37,Medium,Low,True,62
Tammy Nunez,24,Low,Low,False,94
Gina Sanchez,25,Low,Low,False,98
Michelle Peck,80,High,Medium,True,56
Nicholas Dudley,82,High,Medium,True,3
David Johnson,41,High,Medium,True,0
Angela Randall,64,Medium,Medium,True,8
Robert Kim,1,High,High,False,95
Matthew Johnson,75,High,Medium,True,74
Tracy Bradley,45,High,Low,True,93
David Howard,79,High,High,True,72
Bonnie Singh,2,Low,High,True,42
William Brown,6,Low,Low,False,75
Robert Flores,51,Medium,Medium,False,93
Paula Perry,84,Medium,High,False,32
Rebecca Willis,50,Medium,High,True,0
Rebecca Nash,79,Medium,Low,True,12
Jose Lewis,84,Medium,Medium,False,72
Pamela Long,42,High,Medium,True,79
Jesus Harvey,50,Medium,High,False,47
Daniel Parker,38,High,Medium,False,82
Janice Patrick,92,Low,Medium,False,35
Todd Chan,86,High,High,False,42
Matthew Howell,49,Medium,Medium,False,40
Matthew Lee,46,Medium,Low,False,47
Jessica Solomon,13,Low,Low,False,34
Jeffrey Velasquez,30,Low,Medium,True,0
Jacqueline Taylor,17,Low,High,False,63
Alexander Martin,31,Medium,Medium,True,83
Karen Torres,90,Low,Low,True,75
Jake Lucas,46,Medium,Low,True,89
Zachary Bridges,6,Low,High,True,33
Rebecca Rojas,12,Medium,Low,False,22
Kimberly Cooper,72,Medium,Medium,True,93
Jake Cohen,15,Low,Medium,True,45
David Lowe,48,Medium,Low,False,20
Jason Mendoza,97,Low,Low,False,95
Michelle Hunt,67,Medium,Low,False,73
Sandra Petersen,39,Medium,Low,False,8
Vanessa Finley,76,Low,Low,True,95
Timothy Hudson,16,High,Low,False,41
Richard Baker,43,Medium,High,True,84
Angela Murphy,74,Medium,High,True,34
Jorge Steele,86,Medium,High,False,67
Kara Jones,14,Low,High,False,38
Kenneth Perry,35,Low,Medium,True,99
Catherine Torres,53,High,High,False,64
Jasmine Larson,89,Medium,Low,True,43
Erika Robbins,65,High,High,False,51
Scott Williams,38,Low,Medium,True,81
Sherry Hebert,75,Low,Low,True,30
Mrs. Raven Owens MD,74,Medium,Low,True,29
Kevin Wallace,29,Low,High,True,45
Elizabeth Neal,21,High,High,True,15
Crystal Rivera,83,Low,High,False,74
Mary Montoya,24,Low,Low,False,25
Travis Carlson,62,High,Medium,True,36
Kristen Taylor,81,High,Low,True,53
Steven Pace,50,Medium,Low,True,37
Alexis Johnson,72,Low,High,True,98
Brandi Martinez,72,High,Low,False,81
Caroline Morrow,72,Low,High,True,9
Andrew Keith,57,Low,Low,True,93
Ashlee Sanchez,99,Low,Low,False,36
Daniel Mccullough,57,High,High,False,65
Susan Morris,63,High,Low,False,21
Emma Richardson,32,Low,Low,True,91
Sara Walker,69,High,High,False,8
Daniel Lee,68,High,Medium,True,33
Scott Gonzales,77,Medium,Low,False,25
Amanda Farley,79,High,Medium,False,70
Stephanie Acosta,96,Low,Low,False,55
Samuel Moore,25,Medium,Low,True,6
Theresa Holder,4,High,Low,True,39
James Love,21,Low,High,False,57
Gregory Cole,49,Low,Low,True,45
David Thompson,37,Medium,High,True,18
Sara Nelson,5,High,Low,False,13
Vincent Vance,73,Low,High,True,39
Monica Hamilton,49,High,High,True,45
John Rich,54,High,Low,True,11
Denise Hines,16,High,Low,True,55
James Perez,73,Low,High,False,52
Benjamin Daniels,21,High,High,False,74
Mary Boyd,15,Low,Medium,True,28
Matthew Byrd,19,High,Low,False,97
Matthew Gutierrez,89,Low,Low,True,48
Christopher Singleton,88,High,High,True,71
Frederick Arnold,58,Medium,Low,False,82
Allison Stewart,76,Medium,Medium,False,72
Alexa Martin,60,High,Low,False,69
Lauren Rivera,83,Low,Medium,False,63
Deborah Miller,99,Medium,High,False,32
Joseph Alexander,14,Medium,Low,True,84
James Mack,16,Medium,Medium,False,61
Andrew Osborn,36,High,High,False,17
Madison Smith,97,High,Low,False,67
Sonya Murphy,96,Medium,Low,False,24
Brian Rangel,13,Medium,Medium,False,51
Tiffany Pierce,31,Medium,Medium,True,7
Mary Green,85,Medium,Low,True,7
Sarah Evans,69,High,Low,False,72
Michael Hunter,0,Low,Low,False,17
Anne Davis,66,High,Medium,True,67
Betty Gonzalez,75,High,Medium,True,75
Jonathon Stone,61,Low,High,True,72
Tina Cabrera,87,Medium,Medium,True,25
Eric Adams,49,Medium,Medium,False,9
Michael Patterson,31,Low,High,False,24
Micheal Smith,51,High,Medium,True,29
Dorothy Leblanc,79,Low,Low,False,70
Jeffrey Garrett,95,High,Medium,True,4
Rodney Gutierrez,35,Low,High,False,56
Cory Romero,70,Medium,High,True,22
Lisa Fischer,52,High,Low,False,0
Christine Brown,62,High,Medium,False,88
Calvin Gomez,22,Medium,Low,True,85
Omar Gordon,100,High,Low,False,54
Brenda Hart,5,High,Low,True,84
Victoria Johnson,6,Low,Low,False,43
Mark Murphy,12,High,Low,False,95
Jeffrey Morgan,50,High,Low,False,36
Antonio Miller,23,High,Medium,False,22
Thomas White,66,Low,Medium,False,72
James Hernandez,41,Medium,High,False,50
Anna Byrd,29,High,High,False,41
Danielle Wallace,2,High,Low,False,58
Melanie Blevins,12,Medium,High,False,16
Daniel Richards,36,Medium,Low,False,83
Justin Donovan,14,Medium,Low,True,65
Samantha Lopez,43,Medium,Medium,True,49
Robert Torres,75,High,Low,True,91
Michael Wood,99,Medium,High,False,79
Amy Espinoza,78,Low,High,True,17
Donna Landry,43,Low,High,True,90
Jordan Cooper,11,Low,High,False,21
Barbara Morgan,61,Medium,Medium,True,45
Daniel Robinson,36,Medium,Medium,True,63
Jordan Davis,19,High,Low,False,49
Cindy Rios,4,Low,Low,True,96
Brian Martinez,54,Medium,High,True,98
Nicholas Baker,33,Medium,High,False,38
Lauren Davis,47,Low,High,True,14
Makayla Shelton,91,Medium,Low,False,11
Elizabeth Vargas,98,High,Low,True,86
Nathaniel Young,16,High,High,True,80
Corey Campbell,33,Low,High,True,89
Paula French,14,High,High,False,66
Rita Rodriguez,95,Low,High,True,92
Francis Morrow,96,Low,High,False,79
Jacob Davis,69,High,High,True,12
Jason Hall,70,High,Low,False,65
Linda Diaz,50,Low,Low,True,44
Angela Baker,5,High,Low,True,59
Stacey Thompson,95,High,High,False,61
Andrew Johnson,85,High,Low,False,94
Rhonda Tapia,11,Low,High,False,12
Julie Payne,8,Medium,High,True,67
Gregory Coffey,4,High,High,False,23
Linda Clark,44,Low,High,False,92
Hunter Murphy,55,Medium,High,False,81
Michael Hurst,72,Low,Low,False,0
Loretta Figueroa,42,Low,Low,False,85
Michael Schwartz,13,High,Low,False,33
Andrea Miller,71,Low,Medium,True,99
Valerie Mathews,21,High,Low,True,98
Jessica Martin,68,Low,High,True,1
Melissa Robbins,93,High,High,False,94
Ryan Anderson,69,Low,Medium,False,6
Samuel Wright,72,Low,Medium,False,83
Kyle Howard,47,High,Low,True,76
Jimmy Velazquez,32,High,Low,False,44
Tracey Hodges,90,High,High,True,67
David Hickman,55,Medium,Low,True,97
Mark Page,7,High,High,False,51
Sean Washington,12,Low,High,False,65
Terry Galloway,60,Medium,Medium,False,85
Johnathan Carter,60,High,High,True,71
Michael Owen,53,Low,High,True,74
Brandon Harris,74,High,Low,False,22
Rodney Phillips,0,Medium,Low,False,97
Kelsey Gonzales,87,Medium,High,False,24
Tiffany Valenzuela,27,Medium,High,False,13
Chelsea Gonzales,55,High,High,False,0
Mr. David Hudson DVM,92,Medium,Low,True,40
Mr. Christopher Black,20,High,Medium,True,0
Ashley Nelson,84,High,Low,True,78
Tracy Wilson,12,High,Medium,False,18
Samantha Norman,13,Low,Medium,True,20
Omar Turner,44,Low,Medium,True,100
Tyler Roberts,28,Low,High,True,89
Jeffrey Evans,21,Medium,High,True,3
Carmen Walton,5,High,Low,True,65
Matthew Moore,77,Medium,Low,False,50
Jamie English,47,Medium,Low,True,13
Jason Bailey,7,Low,Medium,True,56
Hannah Brooks,69,High,Low,False,31
Russell Clayton,46,High,Medium,False,60
Madison Wolf,66,High,Medium,False,98
Lauren Lewis,30,Low,Low,False,67
Alexander Rogers,88,Low,Medium,False,98
Alejandra Randolph,72,High,High,True,64
Hunter Cooper,28,High,Low,False,18
Sandra Hurley,79,Medium,Medium,True,27
Erica Hall,99,High,Medium,True,75
Courtney Hughes,90,Low,Medium,False,49
Sheri Davis,5,Medium,Medium,True,84
Olivia Shaffer,85,Medium,Low,True,46
Christina Frederick,95,Medium,Low,False,40
Holly Campbell,75,High,High,False,53
Christian Johnson,32,Medium,High,True,29
Gordon Hunt,1,Low,High,True,41
Erik Taylor,63,Low,High,False,11
John Johnson,64,Medium,Low,True,10
Tamara Colon,11,Medium,Low,True,28
Candace Turner,63,Low,Low,True,80
Scott Floyd,34,Medium,High,True,81
Ashley Braun,89,High,Low,False,78
Julia Hoffman,7,Low,High,True,2
Christopher Bean,79,Low,Low,True,33
Dominic Keller,38,Low,Low,False,14
Marvin Reed,56,Low,Medium,True,48
Phillip Smith,9,Low,High,False,15
Todd Booth,85,High,Medium,False,29
David Bowen,90,Medium,Medium,True,22
Carlos Riley,37,High,Medium,False,94
Jessica Sherman,60,High,High,False,12
Andrea Espinoza,66,High,Low,False,91
Sarah Mcdaniel,73,High,Low,True,98
Ashley Brown,51,Low,Low,False,32
Gabriela Sanders DDS,17,Medium,High,True,11
Joshua Montes,10,High,Medium,False,63
Rachel Powers,100,Medium,High,False,17
Christopher Lopez,40,Low,High,False,46
Raymond Walker,56,Medium,High,False,85
Joseph Williams,100,Medium,Medium,False,15
Thomas Allen,86,Medium,High,False,19
Shelley Rodriguez,6,High,High,True,25
Jeremy Smith,13,High,Medium,False,97
Cynthia Landry,10,Medium,Medium,False,70
Jodi Robinson,37,Low,Medium,False,33
Allison Shannon,17,Low,Low,True,77
Yvette Gill,76,High,Medium,True,58
Jeremy Ruiz,80,Low,Low,True,77
Natasha Griffith,49,High,High,True,83
Melissa Carr,91,Medium,High,False,81
Jacob Martinez,72,Medium,High,True,87
Katrina Weiss,94,Low,Medium,False,23
Tiffany Owens,79,Low,High,True,89
Stacy Burton,26,Low,Medium,True,82
Wanda Barr,57,Low,Low,False,76
Timothy Reynolds,63,Medium,Low,True,14
Paul Bailey,79,High,Low,True,14
Donna Smith,54,Medium,High,False,33
Taylor Simmons,17,High,Low,False,54
Brian Martinez,90,Medium,Medium,True,37
Nicole Thompson,2,High,Low,True,2
Timothy Anderson,62,Medium,High,False,16
Michelle Williams,0,Low,High,True,27
Rebecca Cordova,22,Medium,Medium,True,19
Victoria Wells,50,Low,Medium,True,86
Robin Harrington,11,Low,Low,False,77
Jennifer Wolfe,17,Low,Low,True,79
Laura Davis,66,High,Low,True,20
Patricia Moore,3,High,Low,False,67
Jessica Potter,95,Medium,Medium,True,30
Jordan Weber,13,High,Medium,False,60
Monica Duncan,55,Low,Low,False,34
Connor Robinson,51,Medium,Low,False,41
Bradley Hobbs,22,High,Medium,False,45
Patricia King,96,Low,Medium,False,28
Morgan Hansen,38,High,High,True,46
Amanda Pennington,50,Medium,High,False,55
Kevin Terrell,73,Medium,Low,True,41
Hunter Logan,55,Low,High,True,9
James Pierce,19,High,Low,True,81
Michael Lloyd,5,Low,Low,True,100
Christopher Pena,70,High,High,False,79
Michael Blevins,81,Low,Low,False,72
Justin Lopez,40,Low,Low,True,1
Shelley Evans,68,High,Medium,False,79
Manuel Vega,50,Low,Low,True,93
Bryan Gray,25,Low,Low,True,97
David Smith,75,Low,High,True,57
Aaron Torres,98,High,Low,False,31
Carla Norman,67,Low,Low,False,39
Lisa Schneider,45,High,High,True,87
Bradley Robertson,6,Low,High,False,35
Jeremy Martin,63,High,High,False,1
Elizabeth Brown,28,Medium,High,False,62
Kathleen Austin MD,15,Low,Medium,True,84
Michael Elliott,82,Medium,Low,True,86
Stephen Vincent,46,Medium,Medium,False,99
Norma Lynch,37,Medium,High,False,50
Steven Sanchez,97,Medium,High,False,91
Brad Williams,56,High,Medium,True,34
Derrick Morrison,2,Medium,Medium,False,21
Barbara Schmidt,64,Low,High,False,83
Melissa Forbes,35,Low,Low,False,41
Brenda Fernandez,42,Low,High,False,5
Sydney Maldonado,59,High,Low,True,94
Terry Anderson,51,Medium,Low,False,79
Stacy Thompson,4,Medium,High,True,38
Jessica Smith,15,Low,High,True,36
Karen Brown,60,Medium,Medium,True,26
Mary Snyder,69,Medium,High,False,89
Michelle Hall,73,Low,Low,True,13
Brittany Thomas,61,Medium,High,False,91
Krystal Martinez,1,Low,Medium,False,43
Christopher Hayes,52,High,High,True,27
Sean Simmons,49,Medium,Medium,False,91
Kathryn Ryan,30,Medium,Low,True,21
Erika Johnson,7,High,Low,True,0
Randy Porter,15,Low,Medium,False,80
James Davis,88,High,Medium,False,61
Melinda Roberts,51,High,High,True,99
Joseph Ray,3,Medium,Medium,True,60
Christopher Hernandez,1,High,Low,True,32
Michael Mcclure,2,Medium,Medium,False,89
Amanda Brown,63,High,Medium,False,49
David Wilson,62,High,Medium,True,97
Lisa Diaz DVM,40,High,Low,False,55
Peter Brown,12,High,High,True,67
Frederick Patton,37,Medium,High,False,30
Grace Moore,19,High,Medium,True,27
David Oconnor,42,Low,Medium,True,92
Dakota Phillips,26,Low,High,True,86
James Jones,70,Medium,Low,False,81
James Cox,28,Medium,High,False,75
Megan Miller,36,Medium,High,False,68
Crystal Benton,44,Low,High,True,98
Eric Bridges,23,High,High,True,100
Brian Quinn,30,Medium,Medium,False,59
Kristen Davenport,47,High,High,True,43
Anthony Ramirez,66,High,High,True,90
Donna Rice,93,High,High,False,73
Sherri Thomas,15,Medium,Low,True,9
Amanda Reed,55,Low,Medium,True,69
Michael Shepherd III,4,Low,Low,False,98
Elijah Harris,3,Medium,Medium,True,97
Paul Griffin,22,Medium,High,True,84
Wendy Lopez,1,Low,Low,False,1
Austin Powers,9,Low,Low,True,53
Rachel Ferrell,38,Medium,Medium,False,2
Kevin Ford,55,Medium,High,True,74
Dana Hernandez,60,Low,Low,True,10
Laurie Carpenter MD,97,Low,Medium,False,29
Kayla Moore,56,High,High,True,76
David Rush,13,Low,Medium,True,79
Jodi Evans,92,Low,Low,True,62
Jesse Lopez,35,Medium,High,False,19
Joshua Bowers,100,Medium,High,True,56
Dr. Robert Burgess,42,High,Low,False,7
Scott Meyers,41,Low,Medium,True,42
Sarah Scott,50,Medium,High,True,36
Cody Ramos,71,High,Medium,False,87
Shannon Garcia,69,Medium,High,False,7
Jennifer Brown,72,High,Medium,True,50
Robin Thomas,68,Medium,Medium,False,46
Barbara Owens,61,High,Low,True,56
Megan Anderson,4,Low,Low,False,72
Kenneth Fleming,1,Low,Medium,False,67
Matthew Gallagher,56,Low,High,False,80
Jennifer Jarvis,97,Medium,Medium,False,0
Timothy Watson,41,High,Low,True,97
Robert Wise,93,High,Medium,True,93
Richard Snyder,10,Medium,Low,False,52
Tracey Baker,76,High,Medium,True,17
Kayla Shaw,31,Low,Low,True,95
Jordan Hicks,42,High,High,False,6
Matthew Pierce,56,Low,Medium,True,77
Jonathan Ray,34,Low,Medium,False,35
Becky Salinas,47,Low,Low,True,77
David Cameron,24,Medium,High,False,96
David Stevens,9,High,High,False,32
Jason Cohen,65,High,Low,True,0
Sean Owen,42,Medium,Medium,False,8
Francisco Sullivan,44,Low,Medium,True,3
Mathew Carter,43,Low,Low,True,15
Elizabeth Valencia,2,Low,High,False,15
Steven Nelson,9,Low,High,True,35
Suzanne Bruce,6,Medium,Low,True,2
Cindy Shields,88,High,Low,False,40
Juan Moody,55,High,High,False,7
Mrs. Debbie Lyons MD,36,Low,Low,False,42
John White,14,Low,Medium,False,26
Brian Arroyo,62,Medium,Low,False,13
Robert Ramirez,0,High,Medium,True,63
Anna Burton,90,Low,High,True,61
Brian Bell,71,Medium,High,False,14
Madison Wilson,34,Medium,High,True,62
Jordan Perry,18,Low,Low,True,76
Traci Porter,60,High,Medium,True,49
David Richardson,59,Medium,Low,False,47
William Matthews,85,Medium,Low,True,34
Jessica Rhodes,55,High,High,False,32
David Garcia,45,Low,High,False,55
Dana Davis,96,High,High,True,45
Gregory Bauer,8,Medium,Medium,False,31
Jennifer Hicks,22,High,High,False,26
Albert Ortiz,99,High,Low,False,4
Brian Moyer,65,Low,Medium,False,54
Samuel Henry,11,High,Low,True,69
Justin Lane DDS,75,Low,Medium,True,77
Nicholas Robinson,3,High,Medium,True,74
Joshua Howard,34,Medium,Low,False,37
Alexis Miller,82,High,High,True,96
Patricia Skinner,50,Medium,Medium,True,26
Diana Conley,57,Medium,High,True,34
Victoria Gray,40,Low,Medium,False,71
Dana Mejia,70,Low,High,True,2
Matthew Singh,50,Medium,High,False,60
Larry Smith,68,Medium,Medium,True,23
Alexandra Vaughan,50,High,High,True,40
Jeremy Walls,81,Low,Medium,True,5
Tamara Lam,62,Medium,Low,True,92
Kathy Stewart,92,High,Low,True,49
Yolanda Barron,97,Medium,Medium,False,92
Alexis Gross,37,Medium,Low,False,94
Sandra Welch,15,High,High,False,11
Christopher Villarreal,52,Low,Low,True,15
Rose Mathis,31,Medium,High,True,99
Scott Mitchell,43,Low,Medium,False,78
Emily Davis,7,Medium,High,True,67
Tiffany Lynch,67,High,Medium,False,8
Samuel Lawrence,8,Low,Medium,True,2
Isaac Walker,92,High,High,True,62
Richard Hughes,76,Medium,Low,True,22
Bruce Keller,14,Low,High,False,1
Steve Steele,31,High,Medium,False,77
Jamie Miller,45,Low,Low,False,21
Dwayne Taylor,65,High,High,True,0
Mitchell Barry,89,High,Medium,True,2
Darren Williams,53,Low,Medium,False,30
Maria Rivera,36,Low,Low,True,84
Marie Edwards,41,High,Medium,False,97
Gregory Mccann,87,High,Low,True,57
James Thomas,46,Low,Medium,True,37
Katherine Chen,73,Medium,Low,True,95
Yolanda Preston,95,High,Low,True,68
Ashley Parks,29,Medium,High,True,94
Ashley Foster,25,High,Medium,False,90
Kathy Conner,47,Low,Medium,False,76
Donald Mcclain,64,High,Low,True,46
Ryan Walters,20,Medium,High,False,26
Bradley Bush,8,Medium,Low,False,69
Jody Payne,72,Low,Low,True,79
Lauren Ramirez,59,High,Low,True,83
Ebony Weber,93,High,Medium,True,77
Sean Mendoza,40,High,Medium,False,79
Andrea Davis,10,Low,Medium,False,42
Brooke Rosales,7,High,Low,False,89
Lisa Robinson,58,High,High,True,31
John Yates,81,Medium,High,False,15
Miranda Mann,87,Medium,High,True,43
Phyllis Hartman,38,Low,Medium,False,68
Samantha Davis,88,Low,Low,True,92
Jason Ford,50,Medium,High,True,76
Shannon Weaver,67,Medium,Medium,True,27
Linda Miranda,16,Medium,Medium,True,27
Cesar Burns,53,High,High,False,24
Dennis Green,24,High,Low,False,45
Monica Price,91,Low,Medium,False,23
Justin Mcgee,9,High,Low,False,40
Adrienne Anderson,66,Low,High,True,78
Abigail Davis,50,High,High,False,39
Jennifer Dawson,7,Low,High,True,39
Diana Roberts,70,Medium,Medium,True,50
Katherine Green,88,High,Low,False,64
Joseph Simmons,78,High,Medium,False,76
Erica Norton,60,Medium,Medium,False,30
Julian Cortez,84,High,High,False,97
Stacy Alexander,71,Low,Medium,True,3
Shelby Hall,42,Medium,Medium,False,8
Hannah Hendrix,39,High,Medium,True,25
Glenn Williamson,5,High,Low,True,18
Rebecca Williams,24,Low,Medium,False,28
Donna Vasquez,38,Low,Low,False,19
Annette Taylor,24,Low,Low,False,11
Marcus Mercado,31,Medium,Medium,False,17
Katelyn Gonzales,16,Medium,Low,True,63
Lisa Ramos,69,Medium,High,True,41
Kelly Frank,60,Low,Medium,True,49
Judy Yoder,22,Low,Medium,True,36
Jessica Rhodes,9,Low,Low,True,74
David Crawford,92,Medium,High,True,51
Kenneth Mcdowell,72,Low,High,True,49
Mark Olsen,100,Medium,High,False,40
Melissa Kennedy,14,Medium,Low,False,10
Benjamin Walker,69,Low,High,True,70
Diana Beard,77,Medium,Medium,True,37
Melissa Campbell,27,Medium,High,True,99
Hannah Boyd,57,Medium,High,True,63
Jerry Gonzales,31,Low,Low,True,13
Ryan Perez,94,High,Low,True,33
Zachary Simon,77,Medium,Medium,False,99
Kelsey Mcdaniel,66,Medium,Medium,False,16
Derek Jenkins,95,Medium,Medium,False,57
Bruce Williams,44,High,Low,False,40
Edward Walker,54,High,High,False,63
Kelly Vargas,70,Medium,Medium,False,64
Emma Hampton MD,1,Medium,Medium,True,81
Edward Ashley,61,Low,Medium,True,31
Nicole Turner,60,High,Low,False,23
William Patel,91,Medium,Low,False,17
Jean Wells,33,Low,High,True,81
Tina Welch,1,Low,Low,True,54
Matthew Harrell,83,Medium,Low,False,50
Karen Hanson,93,Low,High,False,85
Jessica Walker,23,Low,Low,False,23
Michael Wade,43,Low,High,False,80
Amanda Thomas,91,High,Low,False,89
Jennifer Hayden,4,High,Medium,False,37
Scott Walker,77,Medium,Low,True,62
Richard Lyons,74,Medium,Medium,False,58
Julie Williams,2,Medium,Medium,True,31
David Moran,83,Low,Medium,False,41
Elizabeth Anderson,36,Low,Low,True,64
Ronald Wilson,47,High,High,False,68
James Chavez,81,Medium,High,False,97
Eric Peterson,84,High,High,True,68
Rachel Wolf,79,Low,High,True,50
Mr. Brandon Lopez,78,Medium,High,True,28
Dakota Bennett,23,High,Low,True,42
Jose Hudson,87,Medium,Medium,False,4
Jessica Pierce,10,High,Low,True,90
Debra Mejia,55,Low,High,True,72
Sarah Smith,86,Low,Low,False,98
Andrew Cardenas,73,Low,High,True,90
William Anderson III,82,Medium,High,False,2
Susan Gilbert,69,Low,Medium,True,27
Jeff Austin,47,Medium,Low,True,11
Stephanie Malone,97,Medium,High,True,30
Christopher Singleton,23,High,Low,True,75
Catherine Ellis PhD,34,Low,Medium,True,42
Charles Hernandez,88,Low,Medium,True,81
Don Day,14,Medium,Medium,False,12
Lindsey Edwards,83,Medium,High,True,64
Sarah Ward,38,Medium,Medium,False,48
Alexis Lee,37,High,Medium,False,54
Rebecca Castillo,33,Medium,High,False,15
Chad Romero,64,Medium,Medium,True,18
Stacy Cline,83,High,Low,False,63
Brianna Rhodes,80,High,Low,False,1
Garrett Hunt,80,Low,High,True,33
Cody Buckley,42,Medium,Low,False,94
Samantha Ramirez,12,Low,Medium,True,8
Lisa Rodriguez,12,Medium,High,False,97
Ronald Miller,48,Medium,Low,True,16
Daisy Sandoval,67,Medium,Medium,True,26
Larry Turner,31,Medium,Low,True,14
Larry Rivas,10,High,High,False,6
Brett Mccullough,39,Low,Low,True,15
Stephanie Sanford,4,High,Medium,True,14
Dana Williams,14,High,High,False,69
Jennifer Vance,74,Medium,Medium,False,83
Christopher Walton,50,Medium,Medium,True,58
Jenny Dominguez,55,Low,Medium,True,64
Alex Li,80,Low,Low,False,19
Julie Gilbert,49,Low,Medium,False,88
Alicia Richardson,56,Low,Low,False,75
Jason Sandoval,35,High,Medium,True,11
Kathryn Warren,23,Medium,Medium,False,39
Kristine Robinson,84,Medium,Medium,False,43
Anita Jackson,62,High,Low,False,94
Melissa Green,60,Low,Medium,False,74
Brandon Thompson,6,Medium,Low,True,86
Gregory Gonzales,2,Low,High,True,25
Nathaniel Quinn,11,Medium,Medium,True,73
Dawn Johnson,100,Medium,Medium,False,85
Charles Williams,61,Low,High,True,36
Karen Davis,2,High,Medium,False,4
Ruth Smith,52,Medium,Medium,True,28
Micheal Terrell,80,Low,Medium,True,58
Travis Buck,59,Medium,High,False,78
Patricia Cox,45,High,Low,False,29
Elizabeth Brewer,49,Medium,Medium,False,45
Amber Boyd,53,High,Low,False,59
Raymond Gay,82,Medium,Medium,False,91
Steven Brown,78,Low,Medium,False,32
Erika Winters,24,Low,High,False,78
Rebecca Bowman MD,22,High,Low,False,17
Michael Sloan,61,Low,Low,False,70
Timothy Carr,10,Medium,Low,True,79
Gilbert Fry,83,High,Low,False,16
Austin Erickson,28,Low,Medium,True,13
Stephanie Mcintyre,1,Low,Medium,False,6
Tracy Brown,86,Medium,Medium,True,8
Scott Li,64,Medium,High,False,15
Stephanie Patrick,76,Low,High,True,79
David Golden,5,Low,Medium,True,76
Anna Harvey,69,High,Low,False,17
Courtney Fuller MD,17,Medium,Low,True,77
Martin Reyes,28,High,Low,True,8
Michael Payne,91,Low,Medium,False,14
Kevin Rios,39,Medium,High,False,54
Glen Hall,50,Low,Low,True,40
Robert Sullivan,57,Low,Low,True,30
Brenda Everett,10,Medium,Low,False,87
Debra Perez,77,Low,Low,True,87
Larry Schroeder,72,Low,High,True,53
Robin Simpson,19,Medium,Medium,True,67
Cameron Nelson,34,High,High,False,97
Kevin Logan,65,Low,Low,False,95
Laurie Green,21,High,Low,False,37
John Jones,33,Medium,Low,False,97
Jerome Proctor,98,Low,Low,True,19
Aaron Moore,21,High,High,True,45
Emily Love,10,High,Low,False,26
Courtney Gomez,40,Medium,High,False,92
Marissa Williams,55,Low,High,True,7
